image_id,dim0,dim1,split
0edcec25f01f,3480,4240,train
d35d8ed1759c,2776,2703,train
cc464aea86d7,2687,2754,train
951b29c69002,2858,2473,train
d613c07a006e,2391,2534,train
e584fc8f38ed,3480,4240,train
b73da4bea501,2010,2446,train
7d1b84ddc4c3,1760,2140,train
90812c4dd213,3488,4256,train
a29648f7c9c0,1760,2140,train
75c9fe12ad0f,3480,4248,train
72d9c3f33aeb,3488,4256,train
e95084202c1b,3052,2924,train
28e9e044dc31,3480,4240,train
8ae04761045f,3480,4248,train
d80896edf7a7,2520,3032,train
bda89395eab6,3480,4248,train
45396bf8a4d3,1760,2140,train
ba3e8e808857,3480,4248,train
7d5586dcd57d,2539,3050,train
f664c8a1ec01,1140,1387,train
a2bee395c8da,2061,2772,train
45f0608b7850,3032,3032,train
7d27b1bb3987,2520,3032,train
b8b0eda83a15,2336,2836,train
1db458e46996,3488,4256,train
72df8e8bb056,2416,2872,train
9cb77d59b14a,2800,3408,train
34422c5a6860,2336,2828,train
af87853a19c9,4240,3480,train
960be5d120af,2320,2832,train
d7d0138bede7,2776,3079,train
dd2a5a29876f,2336,2828,train
fc9d227a2b94,2423,2948,train
65d1ea45af3f,2320,2832,train
fa5803549fe5,2336,2836,train
4dccb4bc9142,1760,2140,train
3be7ffcec513,2311,2563,train
c94edfdcff7d,2544,3056,train
c0400d0e413d,2544,3056,train
86e2affffb19,3480,4240,train
ba375ad92c5f,2736,3408,train
1e2ab5bceffb,2736,3408,train
05be0f039257,3480,4248,train
dfc7b258312f,2939,2995,train
27c31f4e3bda,1539,2012,train
6a1001b99a50,2330,2846,train
a323f1604ae2,2330,2846,train
a44c44fa9847,3480,4248,train
4f0b6e8557db,2957,2534,train
5c1e736c0af9,2022,1885,train
e0e16dc820e6,2336,2836,train
78148afc0575,2544,3056,train
90cc4d0bee82,2539,3050,train
6d2fe511f8b2,2539,3050,train
4726a3f0a035,2539,3050,train
208bfef6dbb4,2560,3072,train
52bde750c1e8,2436,3032,train
4252fa42711c,3480,4248,train
783b1efb5675,2800,3408,train
f6462d1bf586,2800,3408,train
5b7339345256,2874,2840,train
79d7fa3b6e57,2336,2836,train
df0fe96fc60a,3480,4240,train
4aadd235fc9c,2544,3056,train
42c79b2cde7f,2022,2012,train
b13582b26a48,3488,4256,train
65b2468a585d,3056,2544,train
c8156ae4d6e8,2320,2832,train
19bb8638b7cf,3488,4256,train
c4e28a18baf9,1766,1665,train
722d5b23e31e,2520,3032,train
525b5548d3f3,2336,2836,train
fd46baeed64d,2298,2953,train
559896adc701,2539,3050,train
51d04316f2c9,2662,2838,train
7bec31816053,2662,2838,train
59385cbc5780,2744,2620,train
e3ab2d72cac2,3480,4240,train
fde3cfe9c056,2540,2880,train
5db180cd24c5,2801,2992,train
700fab8a4486,1140,1387,train
7a596c4c3888,3480,4248,train
558cf3abe42d,2544,3056,train
4bed2e06f7d8,4020,4891,train
f3ce7a4cfd20,2330,2846,train
85752d3c99e3,2330,2846,train
e31fc5148d42,4020,4891,train
b2d8fe7955e2,2498,3408,train
31cc2efa4440,3488,4256,train
a89fdec5dee1,3000,3000,train
ae02ee030e68,3480,4240,train
ea61cc6a35c5,2704,2757,train
2eea8324e7c9,2540,2880,train
2a4cc75d97c1,2320,2832,train
6813965b522a,2336,2836,train
517d390f87c2,2330,2846,train
fb5d173c4c47,2536,3048,train
82ad2f6b6dd1,3052,2900,train
f55d58936e04,2336,2836,train
07ce8310154d,3480,4248,train
6d2ae3ccd741,2989,2992,train
ed9855c3cf17,3480,4248,train
3e63eefbf3d6,4240,3480,train
f78ae37a7cbf,3480,4248,train
b1cc44d4ce86,2801,2990,train
dcd8c561f8f5,2544,3056,train
7be323e5f816,2336,2836,train
5bad56698f31,1760,2140,train
4118f9b2265d,2544,3056,train
996f6025fc65,2320,2832,train
46e8e5b9ac76,2336,2836,train
a7e5d6de0277,2436,3032,train
d9836a416645,2453,2633,train
8ea57eaf946f,3012,3052,train
e3c5df807bcb,2874,2776,train
f80f9bebe43e,2320,2828,train
57b2146108dd,3480,4240,train
c9cbab24db6c,2336,2836,train
fe41376fa23f,2486,2648,train
8df453b7557c,2540,2880,train
564cfd4e8fab,2540,2880,train
6d47700cf105,2251,2586,train
4c795028272e,3032,2520,train
351408fde323,2336,2836,train
08dc9d73dc6e,4240,3480,train
23c2d6fc7a7f,2540,2880,train
4d4ea8834362,2539,3050,train
47660080f1bc,2010,2446,train
a98318b68937,2436,3032,train
3f33c8d988eb,2874,2840,train
ce38c6e5595f,2010,2446,train
76e7878d290d,3480,4240,train
c59ab706e4eb,3480,4248,train
555db1c9e816,3480,4240,train
d3885c0f58bb,2520,3032,train
e7e072c73e1d,3137,3521,train
3cde0ddf01c7,2520,3032,train
cf0cdff4ef2e,3137,3521,train
5c8f79dd7cf6,3480,4240,train
c96a6b9bba47,1140,1387,train
cd3069af4dbf,2336,2836,train
c0ee6a0f2866,2336,2836,train
43886e889b39,2400,2880,train
d6ab7b6fd285,3480,4240,train
e4e05d181762,3480,4240,train
b3238380acef,4020,4891,train
518ddd59e1b1,2158,2748,train
f9ca8e646819,2560,3072,train
d014ad56b323,2800,3408,train
80ba3cec802d,2801,2992,train
c3d01e67c3fd,2320,2832,train
db05dcc42d75,2544,3056,train
b6f989cfd190,3480,4248,train
d787c9bd4fa8,3480,4240,train
66dabc6f972d,3480,4240,train
5ab1ec037d9b,2330,2846,train
d1547120e12a,2800,3408,train
286d9132f875,2516,2825,train
5dc6cae78c63,3480,4240,train
09edc6b22778,2400,2880,train
370d879b8325,2645,3031,train
255cee313786,2336,2836,train
1df3e98f79be,2331,3028,train
146113cf4eec,2539,3050,train
e407061c0811,2520,3032,train
a535619f97fc,2544,3056,train
6f90c979c527,2544,3056,train
407bc7059973,2428,2428,train
136706e3576c,1624,1739,train
4222f6adbc07,2336,2836,train
b77e1333a2b3,2544,3056,train
f65a89690c7f,2320,2832,train
81eb2ea84b8a,2336,2836,train
1e480c241382,3488,4256,train
2e843c5e5ab4,2436,3032,train
12b7dd8452de,2520,3032,train
9b69deb4f9f5,3488,4256,train
fab0ab9d7d17,2180,2660,train
4f1d49fe071e,2336,2836,train
34e9cf30e433,2801,2802,train
9eae69715819,3488,4256,train
b7f8f012a3c4,3480,4248,train
b76e6895fdd6,2916,2980,train
bdd3115879aa,2661,2814,train
1c1069c57757,2661,2814,train
01e2538deeb0,3198,3056,train
3e916851115e,3052,3028,train
1679d20fa0bc,3480,4248,train
42a5b52fe13e,2800,3408,train
757ef6d4f79d,2540,2880,train
c8f108eed552,2536,3048,train
eb547e6f6380,2991,2802,train
629c9a257b43,2507,2706,train
7382990f8d70,2381,2404,train
e0d7c56c8ffb,2320,2832,train
8fa48096e899,3032,3032,train
3b61bb40b6e6,2874,2840,train
00fb65888ddf,3488,4256,train
c2da0b11f38c,1140,1387,train
605e2fde958f,2520,3032,train
8c2bed5e6c87,2336,2836,train
cfdedbaaaee1,2539,3050,train
114f7ffd769b,2400,2880,train
8ddef4d6b60e,2330,2782,train
fe330230f196,2320,2832,train
7438bacffa46,2544,3056,train
7b979a04f903,2902,2836,train
a2c9c721234d,2320,2832,train
538a679fde63,3005,2837,train
6c3ba0593a7f,3488,4256,train
f45b99a2e9bb,3480,4248,train
bcac9a883c18,3480,4240,train
600343c20434,2991,2992,train
e007bc90c441,2536,3048,train
90a509d16478,1855,2247,train
b787026584e5,2539,3050,train
075e8abf2787,3480,4240,train
032f2ab06cad,2548,3060,train
60d69018d5d9,2436,3032,train
e056355bc1d6,3520,4280,train
0e2691505e53,2800,3408,train
c50e0646d520,2320,2832,train
851933322ae3,3488,4256,train
57675376af04,3480,4248,train
3fbb832d4c87,3480,4240,train
3c8d9df532be,4020,4891,train
b00dd3cc3d28,3480,4240,train
1341faa82b28,2320,2832,train
0a0cbc610620,3480,4240,train
e93409a79fed,2658,2720,train
47c8a5b7ae3e,2336,2836,train
a226584b9b79,2825,2998,train
4d8739e124ae,3480,4248,train
ebaf0b87f30b,3480,4240,train
111db05241ac,2770,3215,train
75d3e8c3ba44,2544,3056,train
f3b38af3f836,2520,3032,train
af718ae2118f,3480,4240,train
c349e6255ad0,2874,2840,train
de2b4341f585,2320,2836,train
8e34d5a81ed5,3480,4248,train
a6a58e69de4d,2801,2802,train
6ecd31b63948,2436,3032,train
6518bc37bfd4,2801,2802,train
916b23b7b444,2351,2725,train
a465d6d95cea,2416,2872,train
d1a19bb60b86,2539,3050,train
5a8cc48014b0,2544,3056,train
d757723d3d08,2800,3408,train
dcab5588736e,2402,3050,train
d002491b818b,2170,2846,train
ba9f623ebe24,3480,4248,train
a8013eaf16c1,3480,4240,train
f72847c072e2,3480,4240,train
bdba412f52c0,3488,4256,train
66beec6db90c,2336,2836,train
0a5f36296cb0,2320,2832,train
33889ee019d8,3050,2539,train
010433f32857,3488,4256,train
15b5985239ef,2800,3408,train
636a0393e9cb,3072,3008,train
a5483e0618a0,3032,3032,train
273722673feb,2436,3032,train
4b78153f9d46,3480,4248,train
7a2cf7f59bf2,2800,3408,train
d56ae2c39ca7,2544,3056,train
743bc62aeec7,2540,2880,train
1e71e818fe22,2874,2545,train
62cce89dbca8,2801,2802,train
4e647a32aae9,3488,4256,train
655c08079be0,2010,2431,train
972de759ed96,3480,4240,train
06cda92a097d,3488,4256,train
44068b46afcd,2539,3050,train
ff0743bee789,2010,2446,train
eb32f1993410,1833,1711,train
41a7ff73aade,2336,2836,train
64d4b73ba370,2540,2880,train
b9d1d8e17e50,2416,2872,train
826809ca9b77,3320,3408,train
815328f2379c,2876,3052,train
63055d008dc5,2320,2832,train
6a9d97bd8458,2320,2828,train
94eaa990b86e,2961,2951,train
b14a867bff7b,4020,4891,train
ebe8a296c70d,3480,4248,train
186681f1cb60,2801,2992,train
347de7200418,3032,3032,train
8059171b9129,1760,2140,train
8f2960c590a4,2536,3048,train
94227dbdda42,2942,2539,train
fdd63e69cc58,2539,3050,train
674e9bd35d12,2416,2872,train
99a3c361f538,2336,2836,train
3a1ffb337517,3488,4256,train
137a87bd3167,3480,4248,train
2d156fcdc54e,2991,2992,train
948be419f05a,2692,2646,train
6b16b46afc9f,3480,4240,train
9ab6a0902d00,2544,3056,train
cdf2deb57f28,3488,4256,train
22bcd97abb8f,2132,2428,train
33cf2c834c40,2336,2836,train
71fee2b7ff69,2544,3056,train
452e51b02c5a,3052,3028,train
bf2417586cf2,2520,3032,train
95b239a10358,2520,3032,train
4fbc954682e8,2544,3056,train
be68a3d6754d,3012,3004,train
a7d0372ba917,3488,4256,train
fc863d9c4dc9,2800,3408,train
8234d09049b4,1856,2553,train
b89ad152da0f,1140,1387,train
41bbf4072fe2,2539,3050,train
d6a56e79a52d,2320,2828,train
3606c8d8ee4b,2544,3056,train
35668e854c9b,2271,2287,train
370dfa7600d1,3480,4240,train
0c5283a41d9d,3480,4248,train
dfb5a0d35d11,3032,3032,train
e3f8e3a3baa3,2336,2836,train
f14c6029494a,2336,2836,train
a6c10c2ecfda,2336,2836,train
041089ce263a,2336,2836,train
db0ae0387f05,3488,4256,train
3e4e741a8e3b,2330,2485,train
b98508598396,2320,2832,train
3f430ed95449,2493,2496,train
fe48a35656bd,2298,2846,train
9f4e54eea5fe,1140,1387,train
4c2e803d1015,2544,3056,train
7f24746a7a53,2180,2660,train
f30c28a6a8a7,2336,2836,train
e885aaec6e66,2320,2832,train
c1d0431083fe,2874,2816,train
99c94e6bfcb3,1760,2140,train
d93f9cc993b5,2540,2880,train
576bb6054ad3,2336,2836,train
badef4fafd45,2874,2840,train
2a7181500a00,3488,4256,train
fa1a1dd477c2,2800,3408,train
f7db21dea977,2801,2802,train
cabdf7ef7881,2684,3000,train
0ca52a9afa55,2436,3032,train
af058aa1db93,2336,2836,train
851cf518efcc,2336,2836,train
1afce84b22ba,2353,2430,train
7b19472cc226,3480,4248,train
fd7ddd30d8dc,4020,4891,train
63fc59c183ee,2520,3032,train
7cc4fe4fc67c,3052,3020,train
9b4fdd3a6c98,3052,2404,train
e1a5487d715c,2334,2806,train
c6382003a589,2213,2705,train
f7037ff7c8b6,3488,4256,train
7df10a4bb400,3488,4256,train
01d83be76fbb,2974,2986,train
22d2fa33d2d1,2818,2808,train
ae236afd149b,2336,2836,train
f99c5ab805e5,3520,4280,train
42c88918c2b1,2416,2872,train
984e7d7d2787,3480,4248,train
8a108ed6eb35,3114,3656,train
a82bf3cc9727,2544,3056,train
c6242c90cf2d,2849,2846,train
a18eeacf287a,2330,2846,train
4f7cb2b6dacc,3480,4240,train
a3d4029a671d,2598,3133,train
a2429a60f3ea,2598,3133,train
d72eee691860,3480,4240,train
2a0e69dfaa72,2320,2832,train
a27cc5f99a18,2336,2836,train
88e59bd72db6,2536,3048,train
c8ab098d23e0,3032,3032,train
58a3240989aa,2520,3032,train
d9ed5faef270,3480,4248,train
646a6a0a9bf2,2518,2917,train
32663bd94fbf,2518,2917,train
4cc42e634f49,1140,1387,train
1aa5a0693b46,3480,4248,train
b108d323bcdc,2540,2880,train
a9704ce54780,2540,2880,train
9c0dd840479b,3488,4256,train
b759b01b32fb,3488,4256,train
2ad6ea7e7941,2336,2836,train
e1c597bee679,2801,2798,train
166735bbb8a8,2801,2802,train
b642a2bf55d8,1115,1228,train
3a2f3146abe5,2460,2991,train
59ea99e048aa,3480,4240,train
32385ecafe4c,2320,2828,train
90eb642199b1,2017,2022,train
7c8c667f1510,4020,4891,train
fac01332e5f1,3488,3488,train
75b19c70bbb4,3480,4248,train
3c04710914cd,2330,2846,train
5807a187f396,3488,4256,train
3f2743e23640,3480,4248,train
7e53a1e1f1be,3480,4248,train
e421afcab6f3,2320,2832,train
cfc4fbf71766,2487,3224,train
e3526d8978b6,2800,3408,train
1968bef09ad3,2320,2832,train
8496c434fa2b,2234,2428,train
5a0ad476493b,2320,2832,train
d55d4bf95360,2991,2992,train
233c7f24c43e,2536,3048,train
3363bc54be86,2095,2179,train
681914e0f60d,3480,4248,train
926c8e7cd1cd,2800,2914,train
c4b3482b0125,2544,3056,train
a6271199f75f,2991,2992,train
949c554213c4,3480,4240,train
e20ad06f6647,2436,3032,train
5ce90616364e,2544,3056,train
dd24bff49c63,3480,4248,train
ccccb7875b12,3480,4248,train
39d186c9ff9c,2901,2416,train
b8b91a4f017a,3480,4240,train
acd6abf84731,2336,2836,train
4b32fd76e163,2800,3408,train
5ca05c257a11,2400,2880,train
ef29cf6d3cb4,2544,3056,train
97202fd6e3b1,3480,4240,train
6f70ea7aefe7,2416,2872,train
f043bf82ee4e,2336,2804,train
9d8ccbfb99b7,2330,2846,train
d41ceaca90bc,2330,2846,train
f5c79bb7fb7e,3480,4240,train
451181a24ccd,2800,3408,train
e1f510dd50d5,2828,2320,train
3fee3aeb386a,2336,2836,train
6253b6f46b2b,2330,2846,train
73cc6794cbb8,2828,2320,train
ae11b7367694,3488,4256,train
96b766b758fc,2792,2778,train
b66ed059a224,3000,2950,train
1f19db085b1d,2336,2836,train
5ce5121a90b4,3052,2996,train
0286138dab9b,2234,2428,train
587ac363ab4a,2667,2690,train
258fea606884,3032,3032,train
ecd76b56b4c1,2539,3050,train
4467cda706e7,2336,2836,train
fa9e53baa145,3488,4256,train
1ea61cb23df6,2500,3060,train
957baad1a51c,2336,2836,train
fa5f8d9acc5e,2874,2840,train
8cb5554d94c7,3488,4256,train
5059f9a4a882,2330,2846,train
9cf785a113a5,2694,2760,train
a16b4c54153c,3488,4256,train
3ea74e4b1d24,2292,2846,train
f3db55688feb,2436,3032,train
e352bb2b1afb,2544,3056,train
b388d75427fb,2330,2846,train
0fc37fb1363a,2416,2872,train
30124d722883,2870,3135,train
72683b80b687,2330,2846,train
40f44cc7ab55,3488,4256,train
3bd241da31bc,3480,4248,train
a5e66dc2ba95,3488,4256,train
4b80ec905ec4,2320,2832,train
fd4004c1cfea,1140,1387,train
c77674444141,3480,4248,train
37c3ad608cb3,2991,2992,train
1a0e966f2d57,2436,3032,train
e704aebd4ca5,2436,3032,train
33c95dbfe335,2436,3032,train
d7cd649d9c82,2874,2840,train
6adce4fc71b0,2874,2840,train
0cf130895909,3480,4240,train
b4ec9b6e5da6,3488,4256,train
5a9ddd49c44b,2302,2231,train
3b982073ec16,2800,3408,train
9a06de614828,2336,2836,train
5a84eaaa2854,3052,3012,train
52f97cad2b63,2320,2836,train
6e5946091b8a,2320,2836,train
75b52bec817f,2320,2836,train
c5a479dcbc36,3480,4248,train
645d837f1782,3488,4256,train
bdad1644a802,2991,2992,train
0ca90a4d1e11,2800,3408,train
7e60c4623c33,3006,3006,train
ef73ebf6e779,3052,3052,train
842c682f409e,3480,4248,train
31981d927091,2801,2992,train
76ac53629eda,3480,4240,train
a9df9aa64b16,3480,4248,train
ab2ce44e1d5b,1140,1387,train
df176d43ac18,2800,3408,train
0c39bc33ac7a,2336,2836,train
eef9600e5493,3480,4248,train
8d7102bde380,2540,2880,train
b47fa03aadf8,3480,4240,train
9796be0b3e33,2336,2836,train
2bbfe094d9c4,3488,4256,train
d44325899888,3052,3052,train
aa692e36993f,1140,1387,train
7e12513a42fa,2336,2836,train
eb26cddff06a,2428,2428,train
96ef77785c24,3480,4248,train
31ed6ca7181f,3480,4240,train
f7cbb88ba1c2,1140,1387,train
77b875487f6c,2721,3408,train
89b70af76de1,3480,4240,train
a9fe960e8d9f,2457,2432,train
9da650d46c0b,3480,4240,train
d0ab24d94b3d,2520,3032,train
59cb840515f1,2544,3056,train
3b7033af4649,2536,3048,train
111f979c1ba3,2320,2832,train
5e3d1593fc0a,2320,2832,train
a6b6e0c9dde0,2336,2836,train
1b64e9bd2079,2336,2836,train
137ebbb39847,1760,2140,train
2152246f31f1,2540,2880,train
9e879235655a,2336,2836,train
124e75eb6622,2520,3032,train
d2cf63ed558c,3480,4240,train
ecbd5addfd43,2800,3408,train
af7a7d33882f,2539,3050,train
481cade38eff,3032,3032,train
7760f20dc671,3480,4248,train
6739839069f8,2336,2836,train
41646d9a3e01,2336,2836,train
5e007ab59e5d,3480,4240,train
c10d11ec6d55,3480,4248,train
9e987cbededa,3488,4256,train
4479e9dd4f43,3480,4240,train
75cfdc5bec2d,3480,4248,train
442b8b3c6567,2789,2606,train
da0282b42d7e,2336,2836,train
86e1bca26b5f,2801,2798,train
01e4def48338,3480,4248,train
f173ce0e8a47,3480,4240,train
83fd4f54a9a4,3488,4256,train
f0a21386ef18,3480,4240,train
0f453db5fed6,2336,2836,train
cd4bf20dc13a,3032,3032,train
514fbba4cb3a,1140,1387,train
dec62bd53a03,2536,3048,train
a47ccd8c56a8,2336,2836,train
f9a728667d24,2416,2872,train
2bdc5555d9d7,3488,4256,train
cdee964c1183,2336,2836,train
c1f7a8613aa3,3480,4240,train
dd4db2cfc1dc,2490,2870,train
b8a2649926a2,2843,2975,train
b297e82a912c,2656,3045,train
c86ec745fa23,3480,4248,train
1bd1aa3ea90e,3032,3032,train
800fdabe8dae,2211,2268,train
8e437e0d3f8b,2797,2992,train
a97b888b1010,2544,3056,train
6b7f9efbc371,1140,1387,train
c8e60c5d938d,3488,4256,train
fdb25a936891,2663,2682,train
bf3a6c21cac0,3480,4240,train
1ea96fd9dd7c,2320,2832,train
b69f71f7c44f,2520,3032,train
b2e0f472113b,2336,2836,train
860bd55d358c,2436,3032,train
2b58c5262bf9,2484,2805,train
850e41638d39,2336,2836,train
f01d5caded33,3488,4256,train
8c00b0d57a91,2539,3050,train
f47d797dc06e,3052,2932,train
1b3d36c26846,2330,2718,train
1951ac929b71,3488,4256,train
bf9c56696294,3488,4256,train
f6f3ad013608,2539,2856,train
78305d709f4f,3480,4240,train
981b09433923,2801,2798,train
bb4b1da810f3,2336,2836,train
044839a5b51f,2436,3032,train
73df6b5190c2,2801,2990,train
53d661519127,2801,2802,train
680a0a3ed00c,2874,2840,train
1deb434d88f9,1760,2140,train
132fc5897bff,3480,4240,train
1213420769a4,3488,4256,train
380bc51923e1,3480,4248,train
27c6b4e08f27,2336,2836,train
ae56e7be5c64,2544,3056,train
799d5b7686eb,2991,2992,train
4a716f15a2c9,2971,2985,train
0ac321d82310,2249,2794,train
1ad04a61f05f,3480,4248,train
a79f46805078,2336,2836,train
1acda07db7b7,3052,3028,train
5dd762a0aec9,2520,3032,train
8a41350ed766,2336,2836,train
39748831cb0e,3488,3488,train
b76c4defa9c7,2975,2988,train
1ce44a46c684,3488,4256,train
69cd165ecf4c,3488,4256,train
f24954cd9492,2964,2988,train
bcdfd2f72125,3480,4248,train
a8f9b3071e77,4240,3480,train
a5c5e8425f03,1599,2825,train
ee92643ee482,2539,3050,train
7c09ada15942,2320,2832,train
73f8657c1d8a,2436,3032,train
4bd0ff5a460c,2010,2446,train
f00655c68e05,2520,3032,train
39fc79f0bd68,2336,2836,train
c8e77281fb61,2336,2836,train
25bb6f3d25af,3480,4248,train
c5989c8376dd,3032,3032,train
b2d8e6da8935,3488,4256,train
4c7789795282,3032,3032,train
8d8edfaaf473,3480,4248,train
ae62f3e85752,3480,4248,train
5f79c81b9eb4,2800,3408,train
407b66d46c36,2991,2992,train
9e4824fcee2e,2800,3408,train
ea2117b53323,2800,3408,train
b8e74edf332d,2544,3056,train
1b3f39f26e86,1760,2140,train
09a484920a1d,2336,2836,train
3b31c91dd63b,1140,1387,train
2dfb1892020b,3480,4248,train
5fe5d4052587,3480,4240,train
0fee4da39e93,2330,2501,train
0896ca4f76f3,2625,2934,train
c3c864ee0f68,2800,3408,train
c2004e13c84f,2801,2802,train
bcb4dae91d85,2428,2428,train
ba10a1d08237,3480,4240,train
92d696325eca,2416,2872,train
eea3a910fa9e,4240,3480,train
19fc87ff0612,4240,3480,train
4efd20c837dc,2800,3408,train
318057da5ea0,2436,3032,train
e4ba8cc4614d,2140,1760,train
bc0043b0b2e4,2544,3056,train
cb1cacc91d76,2616,2612,train
4145f29b1520,2010,2446,train
30353c8bddab,2416,2872,train
26aec18cd81a,2520,3027,train
b622f84403da,2520,3027,train
a3f39bd39314,2805,2802,train
029fd29fcfff,2600,2706,train
eefa0243dac0,2536,3048,train
42ae168b660f,2544,3056,train
f99140e2c7d9,2336,2836,train
137a766bb266,2539,3050,train
f4a384d2f5a7,3480,4248,train
b4fcb78a1832,1140,1387,train
a5439252456f,3480,4240,train
6e5dbfb30008,2436,3032,train
aa242582e259,3480,4248,train
a714abec2bef,2320,2832,train
3299c772badc,2424,3050,train
d2896d7a3da9,4240,3480,train
d79b606c8afb,3480,4248,train
bf9f0eea64a7,2180,2660,train
0a3ff348b17f,2336,2836,train
24676aae20cf,2149,2469,train
f22489107be1,2746,3190,train
82383ab47304,2801,2802,train
1bb4e94e3f39,2336,2836,train
ba2b40893712,2520,3032,train
0811fa228368,2330,2846,train
63f632b19a9c,3488,4256,train
efeeacad5c65,3480,4248,train
63ed28f6c6f5,2544,3056,train
d46ec73397be,1760,2140,train
055ab8efe60a,4240,3480,train
d0bb6e1f6132,2436,3032,train
e67d15264570,3052,3052,train
058648c8a669,2416,2872,train
c1efa8f0be37,2801,2798,train
f3036ae57784,2336,2836,train
732668dc8b67,2801,2802,train
bfbe7fbcbb22,2507,2996,train
c309fffbadbf,2320,2832,train
7ce7267d2acc,2539,3050,train
ddef2583d5db,2320,2832,train
e283f58f6d76,2544,3056,train
d28ee143f517,2991,2992,train
ade3c3a06a61,2336,2836,train
c379411716f4,2330,2846,train
ddd175bfcb35,3488,4256,train
a5d669959aab,2320,2828,train
a3982daa9a3a,2548,3060,train
28a00b55fd02,1760,2140,train
a92a89c016bf,2416,2872,train
976589a48d16,2874,2840,train
